,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.D7.A6EZ.01,0.0667,1.8865,0.7225,0.1416,0.6757,0.0041
TCGA.BR.8291.01,0.1844,4.8731,6.6464,0.3113,9.9718,1.1847
TCGA.BR.8296.01,0.2383,0.5773,0.6464,0.2471,1.3542,0.2323
TCGA.IN.A7NU.01,0.1935,1.1031,0.9839,0.2192,1.9909,0.0126
TCGA.RD.A8N4.01,0.0179,2.3651,0.3653,0.1787,3.5736,0.2234
TCGA.VQ.A8PC.01,0.1958,0.5478,0.8034,0.2461,5.718,0.0117
TCGA.BR.6452.01,0.166,0.6547,0.7343,0.0656,2.599,0
TCGA.F1.6875.01,0.0043,0.5935,0.1315,0.0955,1.1996,0.0083
TCGA.VQ.A91K.01,0.065,1.0178,0.3251,0.1019,2.128,0.003
TCGA.CG.5734.01,0.2716,0.3146,0.1441,0.0515,13.1322,0
TCGA.IN.A6RJ.01,0.0306,0.0602,0.6368,0.0867,9.033,0.0298
TCGA.BR.A4CS.01,0.0079,4.1864,0.834,0.1645,1.2516,0.0697
TCGA.CG.4469.01,0.2497,0.3899,0.0922,0.1352,4.465,0.0095
TCGA.IN.A6RO.01,0.0039,0.1997,0.2376,0.0411,1.1115,0.0038
TCGA.D7.A4YX.01,0.0523,0.2808,0.5623,0.0714,1.1794,0.0073
TCGA.D7.5577.01,0.0507,0.1402,0.5778,0.0337,3.5439,0.0062
TCGA.VQ.A91E.01,0.1011,1.9731,0.2805,0.0322,1.0471,0
TCGA.CG.4466.01,0.0509,2.1104,0.3755,0.0841,2.8508,0.1324
TCGA.BR.6803.01,0.0328,3.8213,0.715,0.0929,8.4073,0.3145
TCGA.BR.A4IV.01,0.0468,12.0521,2.1612,0.6801,3.7287,0.0228
TCGA.BR.8297.01,0.0103,1.9211,0.5668,0.1171,3.9051,0.0336
TCGA.CD.8524.01,0.0578,4.1249,0.7447,0.1804,14.6316,0
TCGA.VQ.A8PE.01,0.0634,1.2041,1.1367,0.0598,4.2733,0.0069
TCGA.D7.A4YU.01,0.0545,0.5969,1.4422,0.2026,5.1802,0
TCGA.BR.8690.01,0.1329,2.7428,2.0183,0.1097,2.7096,0.1008
TCGA.CD.5803.01,0.092,6.6436,1.2558,0.2162,8.2041,0.301
TCGA.VQ.A91D.01,0.0156,0.8542,0.3888,0.0463,1.0282,0
TCGA.D7.6528.01,0,0.6298,0.1079,0.0555,3.9995,0.017
TCGA.FP.A9TM.01,0.0349,0.3968,0.1777,0.127,4.1789,0.0097
TCGA.HU.A4HB.01,0.1505,0.4816,0.2109,0.1793,14.4416,0.0036
TCGA.VQ.A91U.01,0.0318,0.1407,0.2915,0.0338,0.6706,0
TCGA.CG.4441.01,0.2964,2.1618,1.4683,0.1106,3.0681,0.0078
TCGA.D7.A747.01,0.0787,2.3059,2.2215,0.4491,4.5672,0.1151
TCGA.BR.A4J7.01,0.0153,4.9213,0.7482,0.1897,3.5481,0.0398
TCGA.CD.8525.01,0.4433,3.7798,0.505,0.2354,0.8193,0.0216
TCGA.HU.A4H3.01,0.0176,0.6859,0.384,0.0748,1.1153,0
TCGA.HU.A4G2.01,0.0063,0.893,0.0715,0.2633,0.5678,0
TCGA.R5.A7O7.01,0.0538,0.7142,0.4265,0.1486,5.7239,0.063
TCGA.CG.4460.01,0.2818,7.1945,0.3024,0.0648,6.1736,0.0092
TCGA.D7.6520.01,0.0093,3.7092,0.4468,0.1235,8.676,0.0091
TCGA.VQ.A91A.01,0.0841,2.7565,3.161,0.2107,13.0116,0.0688
TCGA.VQ.AA68.01,0.0035,0.1377,0.3016,0.0955,3.2647,0.0034
TCGA.BR.8371.01,0.0044,2.7397,0.2974,0.3142,3.536,0.123
TCGA.D7.A74A.01,0.0044,0.2092,0.0571,0.0141,1.3973,0
TCGA.BR.4253.01,0.1216,0.4621,0.8388,0.0497,3.3705,0
TCGA.HU.A4GY.01,0.2345,1.4782,3.6642,0.4207,6.785,0.2404
TCGA.HU.A4H6.01,0.2138,0.5954,0.1882,0.2481,1.6227,0
TCGA.B7.A5TI.01,0.0127,1.5031,0.4064,0.1707,3.3741,0.1691
TCGA.HU.8604.01,0.0913,2.0673,1.6667,0.1801,0.5371,0.0064
TCGA.VQ.A928.01,0.0561,2.5548,0.2675,0.1043,0.8075,0.0034
TCGA.MX.A5UJ.01,0.0781,1.5842,0.8515,0.4564,3.717,0.0457
TCGA.BR.6566.01,0.0047,2.1779,4.2028,0.0802,0.4224,0.0046
TCGA.CG.4476.01,1.4473,3.5826,1.8239,0.094,12.3967,0.5005
TCGA.BR.6852.01,0.0822,2.806,2.5078,0.1684,1.4361,0.0401
TCGA.BR.4368.01,0.3679,2.1696,0.4917,0.3153,4.4465,0.1556
TCGA.FP.7829.01,0.0251,0.9522,0.4658,0.1531,5.3673,0.0061
TCGA.BR.8058.01,0.1982,0.9149,0.3244,0.1098,4.7813,0.0714
TCGA.VQ.AA69.01,0.2858,0.1814,0.0932,0.1037,0.5021,0
TCGA.RD.A8N1.01,0.177,1.4958,0.9757,0.1253,3.4847,0.1495
TCGA.CG.5716.01,0.339,0.2352,0.2041,0.0424,5.1686,0
TCGA.VQ.A91V.01,0.0417,1.9224,0.1239,0.0684,7.1946,0
TCGA.VQ.A91X.01,0.0299,0.8623,0.1226,0.0091,0.8748,0.0083
TCGA.VQ.A923.01,0.0559,0.1902,0.247,0.2511,2.8303,0.0419
TCGA.EQ.8122.01,0.0974,1.0798,0.2795,0.1748,8.6995,0.0164
TCGA.VQ.A8PO.01,0.0243,0.9692,1.3787,0.125,2.0421,0.0079
TCGA.B7.A5TK.01,0.2057,1.759,2.0339,0.3336,1.3752,0.0073
TCGA.D7.8578.01,0.0626,3.254,0.6984,0.1196,6.515,0.0895
TCGA.BR.A4J9.01,0.0173,1.893,0.9667,0.1838,3.0074,0.0574
TCGA.BR.4366.01,0.0817,4.2373,0.3324,0.1553,13.2218,0.0503
TCGA.VQ.A8PH.01,0.0741,0.2661,0.3301,0.0491,4.4511,0
