,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.VQ.A8DV.01,0.0986,1.4585,0.5825,0.065,3.2009,1.9818
TCGA.HU.A4HD.01,0.1098,1.4452,0.3055,0.0611,11.2791,0.079
TCGA.IN.A6RL.01,0.1421,0.851,0.1671,0.1226,5.1598,0.0519
TCGA.HU.A4GH.01,0.0867,0.5156,0.154,0.0095,4.5627,0.0233
TCGA.BR.4257.01,0.1506,6.653,1.0395,0.1357,2.3759,0.0178
TCGA.BR.6565.01,0.0141,2.2665,2.052,0.1841,3.1792,0.0274
TCGA.VQ.AA6F.01,0.0203,0.6026,0.2409,0.1112,2.8674,0.0132
TCGA.D7.A4Z0.01,0.3917,0.3011,0.2653,0.3591,2.9114,0.0098
TCGA.IN.AB1V.01,0.0126,0.1854,0.1702,0.089,13.6437,0.0082
TCGA.KB.A93H.01,0.0112,0.6369,0.289,0.1191,3.8781,0
TCGA.BR.6707.01,0.054,1.0343,0.3564,0.0764,1.5747,0
TCGA.CD.5801.01,0.1201,0.2324,0.2082,0.0717,0.7009,0
TCGA.HU.A4GF.01,0.3111,0.5516,0.1287,0.1296,7.8044,0.0038
TCGA.R5.A7ZR.01,0.1738,3.1106,0.0594,0.0318,3.0434,0
TCGA.BR.4280.01,0.0921,0.1418,0.7302,0.1234,1.3795,0.0039
TCGA.CG.4305.01,0.2464,3.4784,1.9578,0.1336,4.566,0.368
TCGA.VQ.A94O.01,0.2297,0.3122,0.3615,0.0526,11.5803,0
TCGA.BR.8483.01,0.0074,1.3729,0.2928,0.102,1.1693,0
TCGA.VQ.A8PP.01,0.0237,1.9429,0.9996,0.0967,0.4183,0.0231
TCGA.D7.6822.01,0.1803,0.7031,0.2422,0.0596,5.5955,0.0703
TCGA.HU.8249.01,0.0598,0.2325,0.4147,0.0866,2.7007,0.0424
TCGA.D7.6519.01,0.0217,1.5948,0.2711,0.0692,2.8452,0.0466
TCGA.CD.5798.01,0.05,3.4017,0.3074,0.287,2.4958,0.0049
TCGA.D7.8573.01,0.2304,0.2613,0.3731,0.0329,0.4655,0.0432
TCGA.BR.6458.01,0.059,8.6332,0.8609,0.0752,11.2387,0
TCGA.KB.A93G.01,0.0425,4.4443,2.5074,0.3324,22.3419,0.0075
TCGA.BR.8382.01,0.1085,2.3202,1.9136,0.2881,0.8798,0.0106
TCGA.CG.5732.01,0.2087,0.422,0.1418,0.0317,4.4626,0
TCGA.VQ.A8PX.01,0.0828,0.3844,0.4387,0.0483,1.2614,0.004
TCGA.VQ.A94T.01,0.0701,0.9305,1.4703,0.0248,6.2814,0.0028
TCGA.BR.8677.01,0.0479,4.0166,1.2108,0.4242,3.5851,0
TCGA.VQ.A8E3.01,0.15,0.4424,1.1348,0.1738,0.6781,0.1064
TCGA.MX.A663.01,0.0254,4.2942,2.8013,0.3591,4.7671,0.0536
TCGA.CG.4462.01,1.6975,9.013,13.8797,0.5783,16.0162,0.66
TCGA.VQ.AA6A.01,0.0342,0.3583,0.1354,0.0605,2.5854,0.0111
TCGA.VQ.A8E0.01,0.0902,0.6704,0.0997,0.1179,0.6752,0.0034
TCGA.CD.A48C.01,0.0207,6.2594,1.4507,0.1208,4.9521,0
TCGA.IN.A6RI.01,0.0272,1.3187,0.1169,0.0868,1.2896,0
TCGA.D7.8576.01,0.0855,0.5044,0.3106,0.1297,4.3736,0
TCGA.HU.8602.01,0.034,0.2838,0.5683,0.1483,0.612,0
TCGA.CD.5800.01,0.1765,0.6504,0.7429,0.0644,5.7145,0
TCGA.CD.8531.01,0,0.7772,1.0257,0.04,1.1293,0
TCGA.HU.8244.01,0.0284,0.2679,0.2306,0.0301,2.014,0.0443
TCGA.CG.5722.01,0.229,4.1208,0.3207,0.0671,6.1491,0.0385
TCGA.D7.A6F2.01,0.3996,0.5635,0.3528,0.0738,6.1741,0.0127
TCGA.MX.A5UG.01,0.1285,1.5637,1.7912,0.3428,10.8102,0.1541
TCGA.IN.A7NR.01,0.0411,0.2626,0.5564,0.1309,7.6501,0
TCGA.ZQ.A9CR.01,0,1.2536,1.4139,0.4542,0.7686,0
TCGA.RD.A8N6.01,0.0587,1.8265,0.8784,0.1904,4.8391,0.0763
TCGA.BR.8369.01,0.0255,2.3664,0.9573,0.2577,3.3185,0.0457
TCGA.FP.A8CX.01,0.0644,0.5831,0.123,0.083,2.0489,0
